Rank,Player,APG
1.,Magic Johnson*,11.19
2.,John Stockton*,10.51
3.,Oscar Robertson*,9.51
4.,Chris Paul,9.50
5.,Isiah Thomas*,9.26
6.,Kevin Johnson,9.13
7.,John Wall,9.01
8.,Jason Kidd*,8.69
9.,Steve Nash*,8.49
10.,Russell Westbrook,8.41
11.,Norm Nixon,8.32
12.,Tim Hardaway*,8.18
13.,Deron Williams,8.07
14.,Kevin Porter,8.06
15.,Mark Jackson,7.97
16.,Rajon Rondo,7.92
17.,Guy Rodgers*,7.75
18.,Stephon Marbury,7.65
19.,Ricky Rubio,7.59
20.,Muggsy Bogues,7.57
21.,Bob Cousy*,7.53
22.,Johnny Moore,7.43
23.,Tiny Archibald*,7.39
24.,LeBron James,7.35
25.,Rod Strickland,7.30
26.,Baron Davis,7.22
27.,Micheal Ray Richardson,7.01
28.,Norm Van Lier,6.99
29.,John Lucas,6.95
30.,James Harden,6.82
31.,Mark Price,6.74
32.,Mookie Blaylock,6.72
33.,Gary Payton*,6.72
34.,Maurice Cheeks*,6.71
35.,Lenny Wilkens*,6.70
36.,Jerry West*,6.69
37.,Larry Brown*,6.67
38.,Damian Lillard,6.63
39.,Nick Van Exel,6.56
40.,Pooh Richardson,6.54
41.,Andre Miller,6.54
42.,Stephen Curry,6.53
43.,Scott Skiles,6.47
44.,Michael Adams,6.45
45.,Jrue Holiday,6.42
46.,Phil Ford,6.40
47.,Larry Bird*,6.35
48.,Kyle Lowry,6.31
49.,Reggie Theus,6.29
50.,Nikola Jokić,6.28
51.,Fat Lever,6.24
52.,Allen Iverson*,6.15
53.,Nate McMillan,6.15
54.,Brevin Knight,6.15
55.,Slick Watts,6.13
56.,Damon Stoudamire,6.12
57.,Walt Frazier*,6.11
58.,Jamaal Tinsley,6.09
59.,Terrell Brandon,6.09
60.,Kenny Anderson,6.06
61.,Steve Francis,6.03
62.,Ty Lawson,6.02
63.,Dave Bing*,5.99
64.,John Bagley,5.98
65.,Sam Cassell,5.98
66.,Sherman Douglas,5.93
67.,Jason Williams,5.85
68.,T.J. Ford,5.82
69.,Micheal Williams,5.77
70.,Ray Williams,5.77
71.,José Calderón,5.75
72.,Elfrid Payton,5.74
