Rank,Player,BPG
1.,Mark Eaton,3.50
2.,Manute Bol,3.34
3.,Hakeem Olajuwon*,3.09
4.,David Robinson*,2.99
5.,Elmore Smith,2.90
6.,Alonzo Mourning*,2.81
7.,Dikembe Mutombo*,2.75
8.,Kareem Abdul-Jabbar*,2.57
9.,Shawn Bradley,2.55
10.,George Johnson,2.46
11.,Patrick Ewing*,2.45
12.,Theo Ratliff,2.43
13.,Marcus Camby,2.40
14.,Artis Gilmore*,2.39
15.,Anthony Davis,2.33
16.,Myles Turner,2.30
17.,Shaquille O'Neal*,2.26
18.,Hassan Whiteside,2.24
19.,Rudy Gobert,2.21
20.,Bill Walton*,2.21
21.,Larry Nance,2.20
22.,Tree Rollins,2.20
23.,Tim Duncan*,2.17
24.,Elvin Hayes*,1.98
25.,Ben Wallace*,1.96
26.,Benoit Benjamin,1.96
27.,Serge Ibaka,1.93
28.,Josh Smith,1.92
29.,Yao Ming*,1.89
30.,Andrei Kirilenko,1.83
31.,Jermaine O'Neal,1.80
32.,Dwight Howard,1.79
33.,Sam Bowie,1.78
34.,Brook Lopez,1.77
35.,Caldwell Jones,1.77
36.,Samuel Dalembert,1.74
37.,Kevin McHale*,1.74
38.,Roy Hinson,1.74
39.,Roy Hibbert,1.73
40.,Elton Brand,1.73
41.,Jim McIlvaine,1.72
42.,Greg Ostertag,1.71
43.,Harvey Catchings,1.69
44.,Julius Erving*,1.67
45.,Ralph Sampson*,1.65
46.,Hot Rod Williams,1.64
47.,Mike Green,1.64
48.,Raef LaFrentz,1.63
49.,Emeka Okafor,1.63
50.,Adonal Foyle,1.63
51.,Joe Barry Carroll,1.59
52.,Pervis Ellison,1.59
53.,Pau Gasol,1.58
54.,Zydrunas Ilgauskas,1.57
55.,Andrew Bynum,1.57
56.,Charles Jones,1.56
57.,Wayne Cooper,1.56
58.,Alton Lister,1.55
59.,Andrew Bogut,1.55
60.,Terry Tyler,1.54
61.,Oliver Miller,1.54
62.,Bob Lanier*,1.54
63.,Elden Campbell,1.53
64.,Sam Lacey,1.52
65.,DeAndre Jordan,1.52
66.,Billy Paultz,1.52
67.,Clint Capela,1.52
68.,Andrew Lang,1.49
69.,Bob McAdoo*,1.49
70.,Nerlens Noel,1.48
71.,Robert Parish*,1.47
72.,JaVale McGee,1.46
73.,Andre Drummond,1.46
74.,Herb Williams,1.46
75.,Chris Webber*,1.44
76.,John Henson,1.44
77.,Vlade Divac*,1.44
78.,Marvin Webster,1.43
79.,Dan Roundfield,1.43
80.,Chris Andersen,1.43
81.,Duane Causwell,1.42
82.,Erick Dampier,1.42
83.,Joel Przybilla,1.41
84.,Darryl Dawkins,1.41
85.,Marc Gasol,1.41
86.,Bobby Jones*,1.40
87.,Charles Smith,1.40
88.,Michael Olowokandi,1.39
89.,Kevin Garnett*,1.39
90.,Brendan Haywood,1.36
91.,Karl-Anthony Towns,1.36
92.,Derrick Coleman,1.35
93.,Gar Heard,1.34
94.,Tom Burleson,1.33
95.,James Donaldson,1.32
96.,Rasheed Wallace,1.32
97.,John Salley,1.31
98.,Darko Miličić,1.31
99.,Giannis Antetokounmpo,1.31
100.,Tyrus Thomas,1.31
101.,Bo Outlaw,1.31
102.,Joakim Noah,1.30
103.,Moses Malone*,1.30
104.,Bismack Biyombo,1.30
105.,Mark West,1.29
106.,Ervin Johnson,1.29
107.,Rony Seikaly,1.29
108.,Darnell Hillman,1.28
109.,Rik Smits,1.28
110.,Chris Kaman,1.27
111.,Kelvin Cato,1.27
112.,Ronny Turiaf,1.25
113.,Jakob Poeltl,1.25
114.,Stromile Swift,1.25
115.,Amar'e Stoudemire,1.25
116.,Kurt Nimphius,1.23
117.,Shawn Kemp,1.22
118.,Joe Meriweather,1.21
119.,Al Jefferson,1.19
120.,Derrick Favors,1.19
121.,Al Horford,1.18
122.,Kim Hughes,1.18
123.,Jusuf Nurkić,1.18
124.,Thurl Bailey,1.17
125.,Dale Davis,1.16
126.,Chris Dudley,1.16
127.,Kendrick Perkins,1.15
128.,Rasho Nesterović,1.15
129.,Tyson Chandler,1.15
130.,Mychal Thompson,1.15
131.,Kenyon Martin,1.14
132.,DeMarcus Cousins,1.13
133.,Andris Biedriņš,1.12
134.,Kevin Durant,1.12
135.,Kevin Kunnert,1.11
136.,Darius Miles,1.11
137.,Ben Poquette,1.11
138.,LaMarcus Aldridge,1.10
139.,Jerami Grant,1.10
140.,Randy Breuer,1.10
141.,Marcin Gortat,1.10
142.,Jim Chones,1.10
143.,Robin Lopez,1.10
144.,Spencer Haywood*,1.09
145.,Antonio McDyess,1.09
146.,Kermit Washington,1.08
147.,Joel Anthony,1.08
148.,Shawn Marion,1.06
149.,Steven Hunter,1.05
150.,Mike Gminski,1.05
151.,Arvydas Sabonis*,1.05
152.,DeSagana Diop,1.05
153.,Etan Thomas,1.04
154.,Chris Bosh*,1.04
155.,Draymond Green,1.03
156.,Taj Gibson,1.03
157.,P.J. Brown,1.02
158.,Len Elmore,1.02
159.,Chris Mihm,1.02
160.,George Gervin*,1.02
161.,Clifford Ray,1.01
162.,Jon Koncak,1.01
163.,Vin Baker,1.01
164.,Clifford Robinson,1.01
165.,Jonas Valančiūnas,1.00
166.,Brandan Wright,0.99
167.,LaSalle Thompson,0.99
168.,Antonio Davis,0.98
169.,Robert Covington,0.98
170.,Horace Grant,0.98
171.,John Gianelli,0.97
172.,Luc Longley,0.97
173.,Amir Johnson,0.96
174.,Paul Millsap,0.96
175.,Alex Len,0.96
176.,Kyle O'Quinn,0.96
177.,Steven Adams,0.95
178.,Spencer Hawes,0.95
179.,Dave Corzine,0.95
180.,Jack Sikma*,0.95
181.,Steve Stipanovich,0.94
182.,Clemon Johnson,0.94
183.,Antoine Carr,0.94
184.,Robert Horry,0.93
185.,Dave Cowens*,0.93
186.,Lamar Odom,0.93
187.,Shane Battier,0.93
188.,Reggie Lewis,0.93
189.,Rich Kelley,0.92
190.,Nikola Vučević,0.91
191.,Blair Rasmussen,0.91
192.,Bill Laimbeer,0.90
193.,Rick Mahorn,0.90
194.,Dave Greenwood,0.89
195.,Gorgui Dieng,0.89
196.,Mason Plumlee,0.89
197.,Jamaal Magloire,0.89
198.,Donyell Marshall,0.89
199.,James Bailey,0.88
200.,Brian Skinner,0.88
201.,Clarence Weatherspoon,0.87
202.,Greg Anderson,0.87
203.,James Johnson,0.86
204.,Kent Benson,0.86
205.,Tim Perry,0.86
206.,Tracy McGrady*,0.86
207.,David Thompson*,0.86
208.,Bison Dele,0.86
209.,Andrea Bargnani,0.85
210.,Tony Battie,0.85
211.,Danny Manning,0.85
212.,Dan Gadzuric,0.85
213.,Steve Johnson,0.85
214.,Timofey Mozgov,0.84
215.,Joe Smith,0.84
216.,Larry Bird*,0.84
217.,Dirk Nowitzki,0.84
218.,Buck Williams,0.84
219.,Mark Blount,0.84
220.,Dwyane Wade,0.84
221.,Felton Spencer,0.83
222.,Michael Jordan*,0.83
223.,Lonnie Shelton,0.83
224.,Charles Barkley*,0.83
225.,David West,0.82
226.,Danny Granger,0.82
227.,Kenneth Faried,0.82
228.,Montrezl Harrell,0.82
229.,Gerald Wallace,0.82
230.,Alvan Adams,0.82
231.,Andray Blatche,0.81
232.,Wil Jones,0.81
233.,Scottie Pippen*,0.80
234.,Dewayne Dedmon,0.80
235.,Lionel Simmons,0.80
236.,Willie Cauley-Stein,0.79
237.,Jason Maxiell,0.79
238.,Ed Davis,0.78
239.,Jan van Breda Kolff,0.78
240.,Christian Laettner,0.78
241.,Karl Malone*,0.78
242.,Danny Green,0.77
243.,Shareef Abdur-Rahim,0.77
244.,Brad Lohaus,0.77
245.,LaPhonso Ellis,0.76
246.,LeBron James,0.76
247.,Marques Johnson,0.76
248.,Kurt Thomas,0.76
249.,Aaron Williams,0.75
250.,Nenê,0.75
