Rank,Player,PPG
1.,Michael Jordan*,30.12
2.,Wilt Chamberlain*,30.07
3.,Elgin Baylor*,27.36
4.,Kevin Durant,27.23
5.,LeBron James,27.12
6.,Jerry West*,27.03
7.,Allen Iverson*,26.66
8.,Bob Pettit*,26.36
9.,Oscar Robertson*,25.68
10.,George Gervin*,25.09
11.,Karl Malone*,25.02
12.,Kobe Bryant*,24.99
13.,James Harden,24.89
14.,Dominique Wilkins*,24.83
15.,Rick Barry*,24.78
16.,Damian Lillard,24.67
17.,Kareem Abdul-Jabbar*,24.61
18.,Stephen Curry,24.39
19.,Larry Bird*,24.29
20.,Adrian Dantley*,24.27
21.,Pete Maravich*,24.24
22.,Julius Erving*,24.16
23.,Anthony Davis,23.81
24.,Shaquille O'Neal*,23.69
25.,Devin Booker,23.61
26.,George Mikan*,23.13
27.,Karl-Anthony Towns,23.13
28.,Kyrie Irving,23.11
29.,Paul Arizin*,22.81
30.,Russell Westbrook,22.75
31.,David Thompson*,22.67
32.,Dan Issel*,22.56
33.,Bernard King*,22.49
34.,Carmelo Anthony,22.45
35.,Charles Barkley*,22.14
36.,Bradley Beal,22.06
37.,Bob McAdoo*,22.05
38.,Dwyane Wade,21.98
39.,Giannis Antetokounmpo,21.97
40.,Geoff Petrie,21.82
41.,Hakeem Olajuwon*,21.77
42.,Alex English*,21.47
43.,Billy Cunningham*,21.18
44.,David Robinson*,21.06
45.,Mitch Richmond*,21.00
46.,Patrick Ewing*,20.98
47.,Elvin Hayes*,20.96
48.,DeMar DeRozan,20.81
49.,John Havlicek*,20.78
50.,Dirk Nowitzki,20.74
51.,Charlie Scott*,20.69
52.,John Drew,20.69
53.,Glenn Robinson,20.69
54.,John Brisker,20.69
55.,Chris Webber*,20.68
56.,Gilbert Arenas,20.66
57.,Paul George,20.47
58.,Clyde Drexler*,20.44
59.,Dave Bing*,20.34
60.,Moses Malone*,20.33
61.,Spencer Haywood*,20.27
62.,World B. Free,20.27
63.,Bob Verga,20.23
64.,George McGinnis*,20.20
65.,Lou Hudson*,20.16
66.,Marques Johnson,20.10
67.,Walt Bellamy*,20.08
68.,Bob Lanier*,20.07
