No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Player-additional
8,Nemanja Bjelica,C,6-10,234,May 9 1988,rs,6,,bjeline01
2,Chris Chiozza,PG,5-11,175,November 21 1995,us,3,Florida,chiozch01
30,Stephen Curry,PG,6-2,185,March 14 1988,us,12,Davidson,curryst01
21,Jeff Dowtin,PG,6-3,185,May 10 1997,us,R,Rhode Island,dowtije01
23,Draymond Green,PF,6-6,230,March 4 1990,us,9,Michigan State,greendr01
9,Andre Iguodala,SF,6-6,215,January 28 1984,us,17,Arizona,iguodan01
00,Jonathan Kuminga,SF,6-8,210,October 6 2002,cd,R,,kuminjo01
1,Damion Lee,SG,6-5,210,October 21 1992,us,4,Drexel Louisville,leeda03
5,Kevon Looney,C,6-9,222,February 6 1996,us,6,UCLA,looneke01
4,Moses Moody,SG,6-6,205,May 31 2002,us,R,Arkansas,moodymo01
0,Gary Payton II,SG,6-3,190,December 1 1992,us,5,Oregon State,paytoga02
3,Jordan Poole,SG,6-4,194,June 19 1999,us,2,Michigan,poolejo01
32,Otto Porter Jr.,PF,6-8,198,June 3 1993,us,8,Georgetown,porteot01
11,Klay Thompson,SG,6-6,215,February 8 1990,us,8,Washington State,thompkl01
95,Juan Toscano-Anderson,SF,6-6,209,April 10 1993,us,2,Marquette,toscaju01
12,Quinndary Weatherspoon,SG,6-3,205,September 10 1996,us,2,Mississippi State,weathqu01
22,Andrew Wiggins,SF,6-7,197,February 23 1995,ca,7,Kansas,wiggian01
6,Jaylen Adams,PG,6-0,225,May 4 1996,us,2,St. Bonaventure,adamsja01
34,Giannis Antetokounmpo,PF,7-0,242,December 6 1994,gr,7,,antetgi01
43,Thanasis Antetokounmpo,SF,6-6,219,July 18 1992,gr,2,,antetth01
12,D.J. Augustin,PG,5-11,183,November 10 1987,us,12,Texas,augusdj01
3,Elijah Bryant,SG,6-5,210,April 19 1995,us,R,Elon University BYU,bryanel01
24,Pat Connaughton,SG,6-5,209,January 6 1993,us,5,Notre Dame,connapa01
3,Torrey Craig,SF,6-7,221,December 19 1990,us,3,USC Upstate,craigto01
25,Mamadi Diakite,PF,6-9,228,January 21 1997,gn,R,Virginia,diakima01
0,Donte DiVincenzo,SG,6-4,203,January 31 1997,us,2,Villanova,divindo01
7,Bryn Forbes,SG,6-2,205,July 23 1993,us,4,Michigan State,forbebr01
21,Jrue Holiday,PG,6-3,205,June 12 1990,us,11,UCLA,holidjr01
44,Justin Jackson,SF,6-8,220,March 28 1995,us,3,UNC,jacksju01
00,Rodions Kurucs,SF,6-9,228,February 5 1998,lv,2,,kurucro01
11,Brook Lopez,C,7-0,282,April 1 1988,us,12,Stanford,lopezbr01
15,Sam Merrill,SG,6-4,205,May 15 1996,us,R,Utah State University,merrisa01
22,Khris Middleton,SF,6-7,222,August 12 1991,us,8,Texas A&M,middlkh01
13,Jordan Nwora,SF,6-8,225,September 9 1998,us,R,Louisville,nworajo01
9,Bobby Portis,C,6-10,250,February 10 1995,us,5,Arkansas,portibo01
5,Jeff Teague,PG,6-3,195,June 10 1988,us,11,Wake Forest,teaguje01
66,Axel Toupane,SF,6-7,197,July 23 1992,fr,2,,toupaax01
17,P.J. Tucker,PF,6-5,245,May 5 1985,us,9,Texas,tuckepj01
5,D.J. Wilson,PF,6-10,231,February 19 1996,us,3,Michigan,wilsodj01
37,Kostas Antetokounmpo,PF,6-10,200,November 20 1997,gr,1,Dayton,antetko01
