Rank,Player,PER
1.,Michael Jordan*,27.91
2.,LeBron James,27.29
3.,Nikola Jokić,27.13
4.,Anthony Davis,26.84
5.,Shaquille O'Neal*,26.43
6.,David Robinson*,26.18
7.,Wilt Chamberlain*,26.16
8.,Bob Pettit*,25.45
9.,Kevin Durant,25.29
10.,Neil Johnston*,24.86
11.,Giannis Antetokounmpo,24.64
12.,Charles Barkley*,24.63
13.,Karl-Anthony Towns,24.63
14.,Chris Paul,24.60
15.,Kareem Abdul-Jabbar*,24.58
16.,James Harden,24.52
17.,Tim Duncan*,24.22
18.,Magic Johnson*,24.11
19.,Stephen Curry,23.90
20.,Karl Malone*,23.90
21.,Hakeem Olajuwon*,23.59
22.,Julius Erving*,23.58
23.,Larry Bird*,23.50
24.,Dwyane Wade,23.48
25.,Kawhi Leonard,23.37
26.,Oscar Robertson*,23.19
27.,Yao Ming*,23.02
28.,Jerry West*,22.91
29.,Kobe Bryant*,22.90
30.,Elgin Baylor*,22.72
31.,Kevin Garnett*,22.66
32.,Russell Westbrook,22.53
33.,Dirk Nowitzki,22.44
34.,Kyrie Irving,22.37
35.,Damian Lillard,22.22
36.,Tracy McGrady*,22.13
37.,Rudy Gobert,22.11
38.,Dolph Schayes*,22.09
39.,DeMarcus Cousins,22.03
40.,Moses Malone*,22.00
41.,John Stockton*,21.83
42.,Andre Drummond,21.83
43.,Amar'e Stoudemire,21.82
44.,Bob Lanier*,21.69
45.,Clyde Lovellette*,21.67
46.,Harry Gallatin*,21.63
47.,Dominique Wilkins*,21.56
48.,Adrian Dantley*,21.51
49.,Artis Gilmore*,21.40
50.,George Gervin*,21.38
51.,Pau Gasol,21.37
52.,Dan Issel*,21.37
53.,Dwight Howard,21.29
54.,Kevin Love,21.27
55.,Alonzo Mourning*,21.24
56.,Blake Griffin,21.20
57.,Jimmy Butler,21.14
58.,Clyde Drexler*,21.07
59.,Rick Barry*,21.04
60.,Patrick Ewing*,21.01
61.,Chris Webber*,20.94
62.,Allen Iverson*,20.92
63.,Jonas Valančiūnas,20.80
64.,Enes Freedom,20.75
65.,John Drew,20.74
66.,Bob McAdoo*,20.73
67.,Kevin Johnson,20.70
68.,LaMarcus Aldridge,20.70
69.,George Yardley*,20.62
70.,Al Jefferson,20.56
71.,Chris Bosh*,20.56
72.,Ed Macauley*,20.53
73.,Elton Brand,20.51
74.,Nikola Vučević,20.45
75.,Manu Ginóbili*,20.22
76.,Marques Johnson,20.11
77.,John Brisker,20.11
78.,Mel Daniels*,20.08
79.,Greg Monroe,20.08
80.,George McGinnis*,20.05
81.,Billy Cunningham*,20.04
82.,Kevin McHale*,20.02
83.,Steve Nash*,19.95
84.,Larry Nance,19.92
85.,David Thompson*,19.91
86.,Connie Hawkins*,19.89
87.,Alex English*,19.87
88.,Bob Cousy*,19.87
89.,Walt Bellamy*,19.86
90.,Larry Foust,19.84
91.,Cliff Hagan*,19.84
92.,Paul Arizin*,19.77
93.,Paul Pierce*,19.73
94.,Terrell Brandon,19.69
