Name,Team(s) played for (years),Pos,Pts,Reb,Ast,Championships won,MVP won,Finals MVP won,All Star,All-NBA,HoF Year,Ref.
Kareem Abdul-Jabbar,"Milwaukee Bucks (1969–1975)
Los Angeles Lakers (1975–1989)",C,"38,387","17,440","5,660","6 (1971, 1980, 1982, 1985, 1987, 1988)","6 (1971, 1972, 1974, 1976, 1977, 1980)","2 (1971, 1985)",19,15,1995,
Ray Allen,"Milwaukee Bucks (1996–2003)
Seattle SuperSonics (2003–2007)
Boston Celtics (2007–2012)
Miami Heat (2012–2014)",G,"24,505","5,272","4,361","2 (2008, 2013)",None,None,10,2,2018,
Giannis Antetokounmpo,Milwaukee Bucks (2013–2021),F,"12,319","5,371","2,632",1 (2021),"2 (2019, 2020)",1 (2021),5,5,TBD,
Carmelo Anthony,"Denver Nuggets (2003–2011)
New York Knicks (2011–2017)
Oklahoma City Thunder (2017–2018)
Houston Rockets (2018–2019)
Portland Trail Blazers (2019–2021)",F,"27,370","7,520","3,354",None,None,None,10,6,TBD,
Tiny Archibald,"Cincinnati Royals / Kansas City-Omaha / Kansas City Kings (1970–1976)
New York Nets (1976–1977)
Boston Celtics (1978–1983)
Milwaukee Bucks (1983–1984)",G,"16,481","2,046","6,476",1 (1981),None,None,6,5,1991,
Paul Arizin,"Philadelphia Warriors (1950–1952, 1954–1962)",F,"16,266","6,129","1,665",1 (1956),None,None,10,4,1978,
Charles Barkley,"Philadelphia 76ers (1984–1992)
Phoenix Suns (1992–1996)
Houston Rockets (1996–2000)",F,"23,757","12,546","4,215",None,1 (1993),None,11,11,2006,
Rick Barry,"San Francisco / Golden State Warriors (1965–1967, 1972–1978)
Houston Rockets (1978–1980)",F,"18,395","5,168","4,017",1 (1975),None,1 (1975),8,6,1987,
Elgin Baylor,Minneapolis / Los Angeles Lakers (1958–1971),F,"23,149","11,463","3,650",None,None,None,11,10,1977,
Dave Bing,"Detroit Pistons (1966–1975)
Washington Bullets (1975–1977)
Boston Celtics (1977–1978)",G,"18,327","3,420","5,397",None,None,None,7,3,1990,
Larry Bird,Boston Celtics (1979–1992),F,"21,791","8,974","5,695","3 (1981, 1984, 1986)","3 (1984, 1985, 1986)","2 (1984, 1986)",12,10,1998,
Kobe Bryant,Los Angeles Lakers (1996–2016),G,"33,643","7,047","6,306","5 (2000, 2001, 2002, 2009, 2010)",1 (2008),"2 (2009, 2010)",18,15,2020,
Wilt Chamberlain,"Philadelphia / San Francisco Warriors (1959–1965)
Philadelphia 76ers (1965–1968)
Los Angeles Lakers (1968–1973)",C,"31,419","23,924","4,643","2 (1967, 1972)","4 (1960, 1966, 1967, 1968)",1 (1972),13,10,1979,
Bob Cousy,"Boston Celtics (1950–1963)
Cincinnati Royals (1969–1970)",G,"16,960","4,786","6,955","6 (1957, 1959, 1960, 1961, 1962, 1963)",1 (1957),None,13,12,1971,
Dave Cowens,"Boston Celtics (1970–1980)
Milwaukee Bucks (1982–1983)",C,"13,516","10,444","2,910","2 (1974, 1976)",1 (1973),None,7,3,1991,
Billy Cunningham,"Philadelphia 76ers (1965–1972, 1974–1976)",F,"13,626","6,638","2,625",1 (1967),None,None,5,4,1986,
Stephen Curry,Golden State Warriors (2009–2021),G,"18,434","3,503","4,984","4 (2015, 2017, 2018, 2022)","2 (2015, 2016)",1 (2022),8,8,TBD,
Anthony Davis,"New Orleans Hornets / Pelicans (2012–2019)
Los Angeles Lakers (2019–2021)",F/C,"13,463","5,769","1,292",1 (2020),None,None,8,4,TBD,
