Position, Player, PosicionPPG, PosicionAPG, PosicionRPG, PosicionWS48, PosicionPER, PuntajeCampeonatos, PuntajeFMVP, PuntajeMVP, PuntajeAllDefense, PuntajeAllNBA, PuntajeAllStar, PuntajeRanking 
1, LeBron James, 72, 53, 0, 70, 75, 24, 24, 40, 28, 152, 54, 592
2, Kareem Abdul-Jabbar, 60, 0, 47, 69, 62, 36, 12, 60, 43, 130, 57, 576
3, Michael Jordan, 76, 0, 0, 76, 76, 36, 36, 50, 45, 106, 42, 543
4, Wilt Chamberlain, 75, 0, 76, 74, 70, 12, 6, 40, 10, 88, 39, 490
5, Tim Duncan, 0, 0, 38, 59, 60, 30, 18, 20, 61, 122, 45, 453
6, Bob Pettit, 69, 0, 74, 61, 69, 6, 0, 20, 0, 106, 33, 438
7, Shaquille O'Neal, 53, 0, 39, 57, 72, 24, 18, 10, 9, 100, 45, 427
8, Kobe Bryant, 65, 0, 0, 14, 48, 30, 12, 10, 54, 126, 54, 413
9, Jerry West, 71, 41, 0, 62, 49, 6, 6, 0, 23, 112, 42, 412
10, Magic Johnson, 0, 76, 0, 67, 59, 30, 18, 30, 0, 96, 36, 412
11, Larry Bird, 58, 30, 15, 53, 54, 18, 12, 30, 9, 96, 36, 411
12, Oscar Robertson, 68, 74, 0, 56, 51, 6, 0, 10, 0, 102, 36, 403
13, Karl Malone, 66, 0, 19, 55, 57, 0, 0, 20, 18, 124, 42, 401
14, Kevin Durant, 73, 0, 0, 63, 68, 12, 12, 10, 0, 84, 36, 358
15, Chris Paul, 0, 73, 0, 71, 63, 0, 0, 0, 41, 74, 36, 358
16, David Robinson, 33, 0, 35, 75, 71, 12, 0, 10, 32, 60, 30, 358
17, Bill Russell, 0, 0, 75, 46, 0, 66, 0, 50, 5, 78, 36, 356
18, Hakeem Olajuwon, 36, 0, 45, 27, 56, 12, 12, 10, 37, 84, 36, 355
19, Charles Barkley, 42, 0, 54, 64, 65, 0, 0, 10, 0, 82, 33, 350
20, Stephen Curry, 59, 35, 0, 54, 58, 24, 6, 20, 0, 60, 24, 340
21, James Harden, 64, 47, 0, 65, 61, 0, 0, 10, 0, 62, 30, 339
22, Elgin Baylor, 74, 0, 67, 0, 47, 6, 0, 0, 0, 100, 33, 327
23, Anthony Davis, 54, 0, 21, 60, 73, 6, 0, 0, 16, 40, 24, 294
24, Moses Malone, 17, 0, 61, 20, 37, 6, 6, 30, 8, 64, 36, 285
25, Dolph Schayes, 0, 0, 59, 44, 39, 6, 0, 0, 0, 96, 36, 280
26, Giannis Antetokounmpo, 38, 0, 0, 51, 66, 6, 6, 20, 23, 52, 18, 280
27, John Stockton, 0, 75, 0, 58, 36, 0, 0, 0, 15, 62, 30, 276
28, Kevin Garnett, 0, 0, 17, 36, 46, 6, 0, 10, 54, 62, 45, 276
29, Julius Erving, 55, 0, 0, 45, 55, 6, 0, 10, 5, 62, 33, 271
30, Nikola Jokić, 2, 27, 27, 72, 74, 0, 0, 20, 0, 36, 12, 270
31, Neil Johnston, 0, 0, 50, 73, 67, 6, 0, 0, 0, 46, 18, 260
32, Dirk Nowitzki, 27, 0, 0, 47, 44, 6, 6, 10, 0, 76, 42, 258
33, Bob Cousy, 0, 56, 0, 0, 0, 36, 0, 10, 0, 112, 39, 253
34, Russell Westbrook, 47, 67, 0, 0, 45, 0, 0, 10, 0, 54, 27, 250
35, John Havlicek, 28, 0, 0, 0, 0, 48, 6, 0, 34, 82, 39, 237
36, Kawhi Leonard, 0, 0, 0, 66, 52, 12, 12, 0, 27, 42, 15, 226
37, Karl-Anthony Towns, 50, 0, 49, 43, 64, 0, 0, 0, 0, 4, 9, 219
38, Damian Lillard, 61, 39, 0, 21, 42, 0, 0, 0, 0, 36, 18, 217
39, Rudy Gobert, 0, 0, 53, 68, 40, 0, 0, 0, 30, 12, 9, 212
40, Dwight Howard, 0, 0, 55, 17, 24, 6, 0, 0, 23, 60, 24, 209
41, Dwyane Wade, 39, 0, 0, 0, 53, 18, 6, 0, 9, 44, 39, 208
42, Allen Iverson, 70, 25, 0, 0, 15, 0, 0, 10, 0, 50, 33, 203
43, Jason Kidd, 0, 69, 0, 0, 0, 6, 0, 0, 35, 56, 30, 196
44, Elvin Hayes, 30, 0, 63, 0, 0, 6, 0, 0, 6, 48, 36, 189
45, George Gervin, 67, 0, 0, 0, 27, 0, 0, 0, 0, 62, 27, 183
46, Artis Gilmore, 0, 0, 62, 48, 28, 0, 0, 0, 23, 0, 18, 179
47, Gary Payton, 0, 44, 0, 0, 0, 6, 0, 0, 45, 54, 27, 176
48, Rick Barry, 62, 0, 0, 1, 18, 6, 6, 0, 0, 56, 24, 173
49, Isiah Thomas, 0, 72, 0, 0, 0, 12, 6, 0, 0, 42, 36, 168
50, Walt Frazier, 0, 20, 0, 26, 0, 12, 0, 0, 35, 52, 21, 166
51, Adrian Dantley, 57, 0, 0, 41, 29, 6, 0, 0, 0, 12, 18, 163
52, Harry Gallatin, 0, 0, 56, 37, 31, 0, 0, 0, 0, 16, 21, 161
53, Steve Nash, 0, 68, 0, 2, 0, 0, 0, 20, 0, 46, 24, 160
54, Paul Arizin, 48, 0, 0, 39, 0, 6, 0, 0, 0, 36, 30, 159
55, Willis Reed, 0, 0, 64, 0, 0, 12, 12, 10, 5, 34, 21, 158
56, Dominique Wilkins, 63, 0, 0, 0, 30, 0, 0, 0, 0, 38, 27, 158
57, Scottie Pippen, 0, 0, 0, 0, 0, 36, 0, 0, 46, 46, 21, 149
58, Patrick Ewing, 31, 0, 9, 0, 17, 0, 0, 0, 9, 46, 33, 145
59, Kevin Johnson, 0, 71, 0, 28, 10, 0, 0, 0, 0, 26, 9, 144
60, Yao Ming, 0, 0, 0, 52, 50, 0, 0, 0, 0, 18, 24, 144
61, George Mikan, 51, 0, 0, 0, 0, 30, 0, 0, 0, 50, 12, 143
62, Dave Cowens, 0, 0, 68, 0, 0, 12, 0, 10, 11, 18, 24, 143
63, Dennis Rodman, 0, 0, 65, 0, 0, 30, 0, 0, 38, 4, 6, 143
64, Jerry Lucas, 0, 0, 73, 0, 0, 6, 0, 0, 0, 42, 21, 142
65, Kyrie Irving, 49, 4, 0, 5, 43, 6, 0, 0, 0, 10, 21, 138
66, Bill Sharman, 0, 0, 0, 31, 0, 24, 0, 0, 0, 58, 24, 137
67, Sam Jones, 0, 0, 0, 38, 0, 60, 0, 0, 0, 18, 15, 131
68, Tiny Archibald, 0, 54, 0, 0, 0, 6, 0, 0, 0, 42, 18, 120
69, Clyde Drexler, 19, 0, 0, 19, 19, 6, 0, 0, 0, 26, 30, 119
70, Ed Macauley, 0, 0, 0, 49, 5, 6, 0, 0, 0, 36, 21, 117
71, Wes Unseld, 0, 0, 70, 0, 0, 6, 6, 10, 0, 10, 15, 117
72, Billy Cunningham, 34, 0, 28, 0, 0, 6, 0, 0, 0, 36, 12, 116
73, Dave DeBusschere, 0, 0, 43, 0, 0, 12, 0, 0, 30, 6, 24, 115
74, Sidney Moncrief, 0, 0, 0, 40, 0, 0, 0, 0, 23, 34, 15, 112
75, Nate Thurmond, 0, 0, 72, 0, 0, 0, 0, 0, 19, 0, 21, 112
76, Jimmy Butler, 0, 0, 0, 50, 20, 0, 0, 0, 15, 8, 18, 111
77, Tim Hardaway, 0, 65, 0, 0, 0, 0, 0, 0, 0, 30, 15, 110
78, Gus Johnson, 0, 0, 60, 0, 0, 0, 0, 0, 10, 24, 15, 109
79, Andre Drummond, 0, 0, 66, 0, 35, 0, 0, 0, 0, 2, 6, 109
80, Dan Issel, 45, 0, 0, 35, 25, 0, 0, 0, 0, 0, 3, 108
81, Kevin McHale, 0, 0, 0, 34, 0, 18, 0, 0, 24, 10, 21, 107
82, Bob Lanier, 9, 0, 18, 22, 33, 0, 0, 0, 0, 0, 24, 106
83, Tracy McGrady, 0, 0, 0, 0, 41, 0, 0, 0, 0, 42, 21, 104
84, Bob McAdoo, 40, 0, 0, 0, 11, 12, 0, 10, 0, 16, 15, 104
85, Kevin Love, 0, 0, 34, 13, 23, 6, 0, 0, 0, 12, 15, 103
86, Pete Maravich, 56, 0, 0, 0, 0, 0, 0, 0, 0, 32, 15, 103
87, Rajon Rondo, 0, 61, 0, 0, 0, 12, 0, 0, 16, 2, 12, 103
88, Clyde Lovellette, 0, 0, 0, 29, 32, 18, 0, 0, 0, 6, 12, 97
89, Amar'e Stoudemire, 0, 0, 0, 10, 34, 0, 0, 0, 0, 34, 18, 96
90, Bobby Jones, 0, 0, 0, 23, 0, 6, 0, 0, 53, 0, 12, 94
91, Norm Van Lier, 0, 49, 0, 0, 0, 0, 0, 0, 30, 6, 9, 94
92, Dennis Johnson, 0, 0, 0, 0, 0, 18, 6, 0, 39, 16, 15, 94
93, Carmelo Anthony, 43, 0, 0, 0, 0, 0, 0, 0, 0, 20, 30, 93
94, Bill Walton, 0, 0, 32, 0, 0, 12, 6, 10, 10, 16, 6, 92
95, Walt Bellamy, 10, 0, 69, 0, 0, 0, 0, 0, 0, 0, 12, 91
96, Chris Webber, 22, 0, 7, 0, 16, 0, 0, 0, 0, 30, 15, 90
97, Tom Heinsohn, 0, 0, 0, 0, 0, 48, 0, 0, 0, 24, 18, 90
98, John Wall, 0, 70, 0, 0, 0, 0, 0, 0, 3, 2, 15, 90
99, Spencer Haywood, 16, 0, 23, 0, 0, 6, 0, 0, 0, 32, 12, 89
100, Deron Williams, 0, 64, 0, 0, 0, 0, 0, 0, 0, 12, 9, 85
101, Maurice Cheeks, 0, 43, 0, 0, 0, 6, 0, 0, 23, 0, 12, 84
102, Norm Nixon, 0, 66, 0, 0, 0, 12, 0, 0, 0, 0, 6, 84
103, Bernard King, 44, 0, 0, 0, 0, 0, 0, 0, 0, 28, 12, 84
104, Dikembe Mutombo, 0, 0, 25, 0, 0, 0, 0, 0, 24, 10, 24, 83
105, DeMarcus Cousins, 0, 0, 20, 0, 38, 0, 0, 0, 0, 12, 12, 82
106, Alonzo Mourning, 0, 0, 0, 7, 22, 6, 0, 0, 10, 16, 21, 82
107, Bailey Howell, 0, 0, 13, 33, 0, 12, 0, 0, 0, 6, 18, 82
108, Pau Gasol, 0, 0, 0, 9, 26, 12, 0, 0, 0, 16, 18, 81
109, Slater Martin, 0, 0, 0, 0, 0, 30, 0, 0, 0, 30, 21, 81
110, George McGinnis, 13, 0, 42, 0, 0, 0, 0, 0, 0, 16, 9, 80
111, Dave Bing, 18, 14, 0, 0, 0, 0, 0, 0, 0, 26, 21, 79
112, Bill Bridges, 0, 0, 58, 0, 0, 6, 0, 0, 6, 0, 9, 79
